Columns,Importances
Concurrent_open_cases,0.8245220231011126
Seconds_left_Year,0.06057837988892346
Seconds_left_Qtr,0.03305732107719101
Rolling_Std,0.028969028142113884
Seconds_left_Month,0.024769729591240505
Rolling_Mean,0.010296747817443209
Rolling_Median,0.008727481981736358
Seconds_left_Day,0.003128524593732018
Cases_resolved_within_past_8_hours,0.0023086857471749864
Created_on_Weekend,0.0013614943887965748
Cases_created_within_past_8_hours,0.0012646838435339564
Queue_NAOC,0.00013662396442679927
CountryProcessed_northamerica,9.33841996265908e-05
Queue_EOC,7.555883169914148e-05
ROCName_EOC,7.011431313034213e-05
SalesLocation_northamerica,6.122724862991028e-05
CountrySource_northamerica,6.027156064442896e-05
CountryProcessed_asia,4.510611605020697e-05
ROCName_APOC,4.385957781943858e-05
Queue_APOC,4.1833739190783816e-05
SalesLocation_europe,4.1314693243026045e-05
CountrySource_asia,4.0741312316983604e-05
Queue_LOC,4.033711810773504e-05
CountrySource_europe,3.829959524708766e-05
CountryProcessed_europe,3.6533393705685164e-05
SalesLocation_asia,3.651217879070727e-05
CountrySource_southamerica,3.4727661220899284e-05
CountrySource_australia,3.2404821918987105e-05
SalesLocation_southamerica,3.223265297739348e-05
SalesLocation_australia,2.4538413590652308e-05
CountryProcessed_southamerica,2.3699965685791414e-05
Queue_Broken,2.6159231596952472e-06
CountryProcessed_australia,1.4019234848820033e-06
CountrySource_other,1.0239366877210383e-06
CountryProcessed_other,9.766249375250885e-07
Queue_E&E,5.539125118633898e-07
SalesLocation_other,6.148197077428281e-09
